Microorganism,Antibiotics,Year,Country,N,%R,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Germany,3631,3.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Austria,3121,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Finland,3020,2.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,France,8428,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Estonia,89,1.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Croatia,947,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,United Kingdom,5005,3.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Latvia,131,9.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Slovenia,1002,4.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Czech Republic,2667,3.7,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Ireland,2148,3.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Malta,219,9.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Poland,902,4.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Spain,5594,4.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Portugal,1891,7.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Romania,50,10.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Greece,1431,10.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Hungary,1209,8.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Italy,1745,10.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Slovakia,739,12.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Bulgaria,179,10.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Cyprus,137,18.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Iceland,134,1.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Netherlands,4675,1.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Sweden,5532,1.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Lithuania,455,1.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Luxembourg,334,2.7,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Denmark,2285,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Belgium,3330,1.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Norway,2835,1.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Germany,4179,3.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Austria,3579,2.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Finland,2993,3.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,France,5655,3.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Estonia,303,1.7,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Croatia,889,2.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,United Kingdom,5577,4.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Latvia,152,6.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Slovenia,1168,5.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Czech Republic,2809,4.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Ireland,2283,4.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Malta,216,8.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Poland,1011,5.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Spain,5651,5.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Portugal,2152,9.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Romania,179,15.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Greece,1368,10.7,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Hungary,1387,10.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Italy,2686,14.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Slovakia,692,13.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Bulgaria,223,16.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2012,Cyprus,176,14.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Iceland,116,0.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Netherlands,4722,1.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Sweden,7094,2.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Lithuania,429,2.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Luxembourg,287,2.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Denmark,2377,2.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Belgium,3748,2.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Norway,2971,2.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Germany,5241,2.7,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Austria,4260,3.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Finland,3433,3.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,France,10068,3.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Estonia,335,3.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Croatia,1015,3.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,United Kingdom,6536,4.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2013,Latvia,134,4.5,,,,
