Year,Microorganism,Country,Continent,Beta.lactamase,Group,NG_MAST,log2_azm_mic,log2_cfx_mic,log2_cip_mic,log2_cro_mic,log2_pen_mic,log2_tet_mic,%ESBL,%R,Fully susceptible,N,Non-susceptible,Number of laboratories,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,AZM,CARBAPENEMS,CEFTAZIDIME,CFX,CIP,CRO,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PEN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,TET,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
1997,NEISSERIA GONORRHOEAE,Canada,America,,675.0,10476,-2.0,-3.988504361,4.0,-3.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1997,NEISSERIA GONORRHOEAE,Canada,America,,682.0,10576,1.0,-4.965784285,,-3.988504361,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,1.0,-5.965784285,,-4.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,1.0,-4.965784285,,-4.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,1.0,-5.965784285,,-4.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,1.0,-4.965784285,,-4.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,1.0,-4.965784285,,-3.988504361,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,1.0,-5.965784285,,-4.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,Australia,Oceania,S,195.0,270,-2.0,-4.965784285,-0.415037499,-4.965784285,1.584962501,1.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1997,NEISSERIA GONORRHOEAE,Japan,Asia,S,284.0,4093,-1.0,-3.965784285,-1.0,-4.411195433,0.0,1.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1997,NEISSERIA GONORRHOEAE,Japan,Asia,S,289.0,4127,-0.415037499,-3.0,-2.0,-3.411195433,1.584962501,1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,674.0,10469,-3.0,-3.988504361,-5.965784285,-3.0,2.0,8.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,317.0,5,1.0,-7.965784285,,-7.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,1.0,-6.965784285,,-5.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,171.0,21,0.0,-3.0,-5.965784285,-2.0,1.0,2.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,676.0,10502,1.0,-4.965784285,,-5.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,681.0,10575,1.0,-5.965784285,,-3.988504361,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,317.0,5,1.0,-4.965784285,,-4.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,683.0,10577,1.0,-4.965784285,,-4.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,317.0,5,1.0,-4.965784285,,-3.988504361,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,317.0,5,1.0,-6.965784285,,-6.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,372.0,64,2.0,-5.965784285,,-6.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Canada,America,,372.0,64,2.0,-6.965784285,,-6.965784285,,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1998,NEISSERIA GONORRHOEAE,Brasil,America,S,372.0,64,-4.965784285,-5.965784285,-8.965784285,-8.965784285,-3.0,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,USA,America,S,195.0,270,-3.0,-5.965784285,5.0,-7.965784285,-1.0,0.584962501,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,USA,America,S,372.0,64,-3.411195433,-5.965784285,-8.965784285,-7.965784285,-1.395928676,-0.415037499,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1998,NEISSERIA GONORRHOEAE,USA,America,S,193.0,26,-3.411195433,-5.965784285,-8.965784285,-8.965784285,-2.395928676,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
