Year,Microorganism,Continent,Country,%ESBL,%R,Azithromycin,Beta.lactamase,Cefixime,Ceftriaxone,Ciprofloxacin,Fully susceptible,Group,N,NG_MAST,Non-susceptible,Number of laboratories,Penicillin,Tetracycline,azm_mic,cfx_mic,cip_mic,cro_mic,log2_azm_mic,log2_cfx_mic,log2_cip_mic,log2_cro_mic,log2_pen_mic,log2_tet_mic,pen_mic,tet_mic,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,AZM,CARBAPENEMS,CEFTAZIDIME,CFX,CIP,CRO,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PEN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,TET,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
1993,NEISSERIA GONORRHOEAE,Europe,UK,,,0.19,S,0.016,0.008,0.002,,153.0,,176,,,0.75,0.5,0.19,0.016,0.002,0.008,-2.395928676,-5.965784285,-8.965784285,-6.965784285,-0.415037499,-1.0,0.75,0.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1993,NEISSERIA GONORRHOEAE,Europe,UK,,,0.125,S,0.016,0.023,0.19,,154.0,,177,,,1,2,0.125,0.016,0.19,0.023,-3.0,-5.965784285,-2.395928676,-5.442222329,0.0,1.0,1.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1993,NEISSERIA GONORRHOEAE,Europe,UK,,,0.125,S,0.032,0.047,0.006,,155.0,,178,,,2,2,0.125,0.032,0.006,0.047,-3.0,-4.965784285,-7.380821784,-4.411195433,1.0,1.0,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1994,NEISSERIA GONORRHOEAE,America,Canada,,,0.5,,0.063,0.125,0.016,,269.0,,380,,,4,2,0.5,0.063,0.016,0.125,-1.0,-3.988504361,-5.965784285,-3.0,2.0,1.0,4.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1996,NEISSERIA GONORRHOEAE,America,Canada,,,0.25,,0.125,0.125,0.5,,672.0,,10443,,,2,2,0.25,0.125,0.5,0.125,-2.0,-3.0,-1.0,-3.0,1.0,1.0,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1996,NEISSERIA GONORRHOEAE,Oceania,Australia,,,0.38,R,0.016,0.023,24,,435.0,,904,,,32,3,0.38,0.016,24.0,0.023,-1.395928676,-5.965784285,4.584962501,-5.442222329,5.0,1.584962501,32.0,3.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1996,NEISSERIA GONORRHOEAE,Oceania,Australia,,,0.5,S,0.125,0.25,>32,,128.0,,1422,,,2,2,0.5,0.125,64.0,0.25,-1.0,-3.0,6.0,-2.0,1.0,1.0,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1997,NEISSERIA GONORRHOEAE,America,Canada,,,0.25,,0.063,0.125,16,,675.0,,10476,,,2,2,0.25,0.063,16.0,0.125,-2.0,-3.988504361,4.0,-3.0,1.0,1.0,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1997,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.032,0.063,,,682.0,,10576,,,,,2.0,0.032,,0.063,1.0,-4.965784285,,-3.988504361,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
1997,NEISSERIA GONORRHOEAE,America,Canada,,,2,,0.016,0.032,,,171.0,,21,,,,,2.0,0.016,,0.032,1.0,-5.965784285,,-4.965784285,,,,,,,,,1.0,,,1.0,0.0,1.0,,,,,0.0,,,0.0,,
