Year,Microorganism,Country,%R,N,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,CARBAPENEMS,CEFTAZIDIME,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
2010,ESCHERICHIA COLI,Bulgaria,8.0,150,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Cyprus,8.7,138,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Iceland,0.8,120,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Netherlands,2.2,4400,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Sweden,1.4,3915,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Lithuania,2.4,378,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Luxembourg,2.8,353,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Denmark,3.0,2529,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Belgium,1.4,3331,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Norway,1.2,2259,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Germany,3.6,3631,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Austria,2.6,3121,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Finland,2.5,3020,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,France,2.6,8428,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Estonia,1.1,89,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Croatia,2.6,947,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,United Kingdom,3.6,5005,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Latvia,9.2,131,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Slovenia,4.1,1002,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Czech Republic,3.7,2667,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Ireland,3.6,2148,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Malta,9.6,219,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Poland,4.0,902,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Spain,4.9,5594,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Portugal,7.5,1891,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Romania,10.0,50,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Greece,10.8,1431,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Hungary,8.3,1209,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Italy,10.3,1745,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Slovakia,12.9,739,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Bulgaria,10.1,179,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Cyprus,18.2,137,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Iceland,1.5,134,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Netherlands,1.8,4675,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Sweden,1.8,5532,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Lithuania,1.3,455,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Luxembourg,2.7,334,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Denmark,2.6,2285,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Belgium,1.8,3330,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Norway,1.9,2835,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Germany,3.2,4179,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Austria,2.5,3579,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Finland,3.1,2993,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,France,3.3,5655,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Estonia,1.7,303,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Croatia,2.8,889,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,United Kingdom,4.2,5577,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Latvia,6.6,152,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Slovenia,5.1,1168,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Czech Republic,4.5,2809,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Ireland,4.0,2283,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Malta,8.3,216,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Poland,5.8,1011,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Spain,5.9,5651,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Portugal,9.2,2152,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Romania,15.6,179,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Greece,10.7,1368,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Hungary,10.5,1387,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Italy,14.4,2686,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Slovakia,13.6,692,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Bulgaria,16.1,223,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2012,ESCHERICHIA COLI,Cyprus,14.8,176,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Iceland,0.9,116,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Netherlands,1.9,4722,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Sweden,2.0,7094,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Lithuania,2.1,429,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Luxembourg,2.1,287,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Denmark,2.2,2377,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Belgium,2.3,3748,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Norway,2.5,2971,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
